variant,games,win_rate,avg_vp,avg_roads,avg_settlements,avg_cities,avg_dev_cards,longest_road_rate,largest_army_rate,avg_runtime_seconds
yop_off,400,0.4425,8.27,8.955,3.21,1.76,3.8975,0.2825,0.0,2.051985818676185
yop_on,400,0.445,8.285,9.0175,3.2325,1.755,3.895,0.28,0.0,2.129719271250069
