variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
yop_on,46,2,1,10,10,4,2,4,0,0,2.30100916698575
yop_off,47,3,0,8,8,5,1,4,0,0,2.3664838345721364
yop_on,47,3,0,8,8,5,1,4,0,0,2.3736104164272547
yop_off,48,0,0,8,6,4,1,5,0,0,1.595403166487813
yop_on,48,0,0,8,6,4,1,5,0,0,1.5802952079102397
yop_off,49,1,1,10,12,4,1,5,1,0,1.8927609585225582
yop_on,49,1,1,10,13,4,2,8,0,0,3.7942146249115467
yop_off,50,2,0,5,7,1,2,1,0,0,1.1765851667150855
yop_on,50,2,0,5,7,1,2,1,0,0,1.1901912093162537
yop_off,51,3,0,9,9,4,2,1,0,0,1.942036708816886
yop_on,51,3,0,9,9,4,2,1,0,0,1.9179447079077363
yop_off,52,0,1,10,11,4,2,2,1,0,1.4380111256614327
yop_on,52,0,1,10,11,4,2,2,1,0,1.4005989572033286
yop_off,53,1,0,6,11,5,0,4,0,0,1.9995130002498627
yop_on,53,1,0,6,11,5,0,4,0,0,1.9886682918295264
yop_off,54,2,0,6,3,1,2,7,0,0,1.502089375630021
yop_on,54,2,0,6,3,1,2,7,0,0,1.4015879994258285
yop_off,55,3,1,10,14,4,2,4,1,0,2.4413747088983655
yop_on,55,3,1,10,14,4,2,4,1,0,3.134433957748115
yop_off,56,0,0,6,10,5,0,4,0,0,2.4726064587011933
yop_on,56,0,0,6,10,5,0,4,0,0,1.8133154166862369
yop_off,57,1,0,7,3,1,2,7,0,0,1.9322390407323837
yop_on,57,1,0,7,3,1,2,7,0,0,1.9546935418620706
yop_off,58,2,0,6,7,2,2,5,0,0,2.548729833215475
yop_on,58,2,0,6,7,2,2,5,0,0,2.6479179998859763
yop_off,59,3,1,10,13,5,1,2,1,0,2.0232786256819963
yop_on,59,3,1,10,13,5,1,2,1,0,2.0320182908326387
yop_off,60,0,0,7,12,4,1,4,0,0,2.230996041558683
yop_on,60,0,0,7,12,4,1,4,0,0,2.58588045835495
yop_off,61,1,0,7,6,4,1,4,0,0,1.8792634159326553
yop_on,61,1,0,7,6,4,1,4,0,0,1.8151972917839885
yop_off,62,2,0,7,10,3,2,1,0,0,4.207272167317569
yop_on,62,2,0,7,10,3,2,1,0,0,3.0874255001544952
yop_off,63,3,0,6,3,0,3,2,0,0,1.3790689576417208
yop_on,63,3,0,6,3,0,3,2,0,0,1.8420819584280252
yop_off,64,0,0,7,5,2,2,4,0,0,2.4315249994397163
yop_on,64,0,0,7,5,2,2,4,0,0,2.513141041621566
yop_off,65,1,0,8,7,2,3,1,0,0,2.3183813337236643
yop_on,65,1,0,8,7,2,3,1,0,0,2.1069955825805664
yop_off,66,2,0,5,5,4,0,6,0,0,1.7743910001590848
yop_on,66,2,0,5,5,4,0,6,0,0,1.8810874577611685
yop_off,67,3,1,10,15,3,2,5,1,0,2.7952854158356786
yop_on,67,3,1,10,15,3,2,5,1,0,3.118409584276378
yop_off,68,0,1,10,8,3,2,6,0,0,2.704297624528408
yop_on,68,0,1,10,8,3,2,6,0,0,2.6560701252892613
yop_off,69,1,0,9,8,0,4,4,0,0,3.1758652916178107
yop_on,69,1,0,9,8,0,4,4,0,0,2.4584538340568542
yop_off,70,2,1,10,7,1,3,5,0,0,2.621389750391245
yop_on,70,2,1,10,7,1,3,5,0,0,2.642814291641116
yop_off,71,3,1,10,7,3,2,4,0,0,1.9619249161332846
yop_on,71,3,1,10,7,3,2,4,0,0,2.759897166863084
yop_off,72,0,1,10,7,1,4,4,0,0,2.1734058745205402
yop_on,72,0,1,10,7,1,4,4,0,0,2.289839499630034
yop_off,73,1,0,7,9,5,0,6,0,0,1.8596017081290483
yop_on,73,1,0,7,9,5,0,6,0,0,1.7585920840501785
yop_off,74,2,0,6,7,3,1,5,0,0,1.6746179582551122
yop_on,74,2,0,6,7,3,1,5,0,0,1.9640038330107927
yop_off,75,3,1,10,10,4,2,3,1,0,2.0700621670112014
yop_on,75,3,1,10,11,4,2,2,1,0,2.9776161247864366
yop_off,76,0,0,5,7,5,0,1,0,0,2.7133091669529676
yop_on,76,0,0,5,7,5,0,1,0,0,2.6952455416321754
yop_off,77,1,0,5,6,4,0,6,0,0,1.7632014164701104
yop_on,77,1,0,5,6,4,0,6,0,0,1.7870657071471214
yop_off,78,2,1,10,10,1,4,4,0,0,2.1361560001969337
yop_on,78,2,1,10,10,1,4,4,0,0,2.441776958294213
yop_off,79,3,1,10,10,5,1,2,1,0,1.4430955005809665
yop_on,79,3,1,10,10,5,1,2,1,0,1.876901083625853
yop_off,80,0,1,10,7,1,4,5,0,0,3.5711469585075974
yop_on,80,0,1,10,7,1,4,5,0,0,3.012145667336881
yop_off,81,1,0,7,5,0,3,6,0,0,1.7096645003184676
yop_on,81,1,0,7,5,0,3,6,0,0,1.72121287509799
yop_off,82,2,1,10,12,5,1,3,1,0,2.312187667004764
yop_on,82,2,1,10,12,5,1,3,1,0,2.2920962907373905
yop_off,83,3,0,5,8,3,1,4,0,0,1.765820624306798
yop_on,83,3,0,5,8,3,1,4,0,0,1.7952464576810598
yop_off,84,0,0,6,13,4,1,2,0,0,2.482732250355184
yop_on,84,0,0,6,13,4,1,2,0,0,2.5066823745146394
yop_off,85,1,0,8,10,5,0,1,1,0,1.6466252924874425
yop_on,85,1,0,8,10,5,0,1,1,0,1.7559089995920658
yop_off,86,2,0,4,5,3,0,5,0,0,1.2771198749542236
yop_on,86,2,0,4,5,3,0,5,0,0,1.2193749584257603
yop_off,87,3,0,4,7,4,0,6,0,0,1.7586100827902555
yop_on,87,3,0,4,7,4,0,6,0,0,1.6626119995489717
yop_off,88,0,1,10,13,4,2,1,1,0,1.9947459176182747
yop_on,88,0,1,10,13,4,2,1,1,0,2.5003208750858903
yop_off,89,1,0,6,6,4,0,7,0,0,2.6993908751755953
yop_on,89,1,0,6,6,4,0,7,0,0,2.727637625299394
yop_off,90,2,0,9,7,0,4,2,0,0,2.479351207613945
yop_on,90,2,0,9,7,0,4,2,0,0,3.107364750467241
yop_off,91,3,0,6,3,3,0,9,0,0,2.394247875548899
yop_on,91,3,0,6,3,3,0,9,0,0,2.425885667093098
yop_off,92,0,1,11,11,5,2,4,1,0,2.245876207947731
yop_on,92,0,1,11,14,5,2,8,1,0,2.8992984164506197
yop_off,93,1,0,5,9,5,0,1,0,0,1.6775128338485956
yop_on,93,1,0,5,9,5,0,1,0,0,1.7713039154186845
yop_off,94,2,0,9,12,4,1,3,1,0,2.896007040515542
yop_on,94,2,0,9,12,4,1,3,1,0,2.941790707409382
yop_off,95,3,1,10,15,4,2,6,0,0,2.6711577074602246
yop_on,95,3,1,10,15,4,2,6,0,0,2.6935372073203325
yop_off,96,0,0,8,9,2,2,4,0,0,1.7188913328573108
yop_on,96,0,0,8,9,2,2,4,0,0,1.7802386675029993
yop_off,97,1,0,8,9,4,2,1,0,0,2.2728243758901954
yop_on,97,1,0,8,9,4,2,1,0,0,2.2322366666048765
yop_off,98,2,1,10,15,4,2,0,1,0,3.099496791139245
yop_on,98,2,1,10,15,4,2,0,1,0,3.147114207968116
yop_off,99,3,0,7,14,5,0,5,1,0,2.854185708798468
yop_on,99,3,0,7,14,5,0,5,1,0,4.437337375245988
yop_off,100,0,0,9,5,1,3,7,0,0,1.9757856670767069
yop_on,100,0,0,9,5,1,3,7,0,0,1.9777399580925703
yop_off,101,1,1,10,12,0,4,3,1,0,2.3234304171055555
yop_on,101,1,1,10,12,2,3,2,1,0,2.690643041394651
yop_off,102,2,1,10,10,3,2,3,1,0,2.1954639991745353
yop_on,102,2,1,10,10,3,2,3,1,0,2.176555416546762
yop_off,103,3,1,10,15,5,1,7,1,0,3.5470472928136587
yop_on,103,3,1,10,15,5,1,7,1,0,3.58407074958086
yop_off,104,0,0,8,7,3,2,4,0,0,2.1560010006651282
yop_on,104,0,0,8,7,3,2,4,0,0,2.1569381672888994
yop_off,105,1,0,8,9,4,2,5,0,0,2.4886450823396444
yop_on,105,1,0,8,9,4,2,5,0,0,2.535493333823979
yop_off,106,2,1,10,8,1,4,2,0,0,1.9002824164927006
yop_on,106,2,1,10,8,1,4,2,0,0,1.9420471247285604
yop_off,107,3,1,10,8,4,2,4,0,0,1.468454459682107
yop_on,107,3,1,10,8,4,2,4,0,0,1.4886847073212266
yop_off,108,0,1,10,9,1,4,1,0,0,2.095245291478932
yop_on,108,0,1,10,9,1,4,1,0,0,4.149618833325803
yop_off,109,1,0,9,8,3,2,5,0,0,2.429475416429341
yop_on,109,1,0,9,8,3,2,5,0,0,2.8101156670600176
yop_off,110,2,1,10,11,3,3,4,0,0,1.961087666451931
yop_on,110,2,1,10,11,3,3,4,0,0,2.047918458469212
yop_off,111,3,1,10,11,4,3,1,0,0,2.2763816667720675
yop_on,111,3,1,10,11,4,3,1,0,0,2.3145930003374815
yop_off,112,0,0,7,9,5,1,2,0,0,2.1098871659487486
yop_on,112,0,0,7,9,5,1,2,0,0,2.0973530830815434
yop_off,113,1,1,10,9,5,1,1,1,0,1.4240019582211971
yop_on,113,1,1,10,9,5,1,1,1,0,1.4181660423055291
yop_off,114,2,0,8,10,5,0,4,1,0,1.7299521258100867
yop_on,114,2,0,8,10,5,0,4,1,0,1.744886750355363
yop_off,115,3,1,10,10,3,3,4,0,0,2.6362129598855972
yop_on,115,3,1,10,10,3,3,4,0,0,2.719845707528293
yop_off,116,0,0,8,11,4,1,7,0,0,2.533742541447282
yop_on,116,0,0,8,11,4,1,7,0,0,2.4527811678126454
yop_off,117,1,0,9,14,4,2,6,0,0,3.4337426256388426
yop_on,117,1,0,9,14,4,2,6,0,0,3.4161791671067476
yop_off,118,2,0,9,12,4,1,3,1,0,2.415420708246529
yop_on,118,2,0,9,12,4,1,3,1,0,2.390458583831787
yop_off,119,3,0,9,13,4,1,6,1,0,2.2302779583260417
yop_on,119,3,0,9,13,4,1,6,1,0,2.316881666891277
yop_off,120,0,0,6,8,2,2,6,0,0,1.7951824581250548
yop_on,120,0,0,6,8,2,2,6,0,0,1.8212858326733112
yop_off,121,1,1,10,10,3,3,2,0,0,2.115432624705136
yop_on,121,1,1,10,10,3,3,2,0,0,2.088478457182646
yop_off,122,2,1,10,12,5,1,4,1,0,2.524460082873702
yop_on,122,2,1,10,12,5,1,4,1,0,2.4172125412151217
yop_off,123,3,0,9,11,5,0,6,1,0,2.428976292721927
yop_on,123,3,0,9,11,5,0,6,1,0,2.3350476659834385
yop_off,124,0,1,10,6,2,3,8,0,0,2.767795958556235
yop_on,124,0,1,10,6,2,3,8,0,0,3.0393343325704336
yop_off,125,1,1,10,14,5,1,4,1,0,2.4108262918889523
yop_on,125,1,1,10,14,5,1,4,1,0,3.465750999748707
yop_off,126,2,0,6,11,5,0,4,0,0,2.259403208270669
yop_on,126,2,0,6,11,5,0,4,0,0,3.024486000649631
yop_off,127,3,0,5,11,5,0,3,0,0,2.6225055418908596
yop_on,127,3,0,5,11,5,0,3,0,0,2.6198902083560824
yop_off,128,0,0,8,11,4,2,7,0,0,2.6541450833901763
yop_on,128,0,0,8,11,4,2,7,0,0,2.552857874892652
yop_off,129,1,0,9,9,3,3,3,0,0,2.3739348333328962
yop_on,129,1,0,9,9,3,3,3,0,0,2.3206848334521055
yop_off,130,2,1,10,9,3,2,7,1,0,2.337350166402757
yop_on,130,2,1,10,9,3,2,7,1,0,2.467564375139773
yop_off,131,3,1,10,9,5,2,7,0,0,2.5146731669083238
yop_on,131,3,1,10,9,5,2,7,0,0,2.4689696673303843
yop_off,132,0,1,10,10,4,1,7,1,0,1.9178016250953078
yop_on,132,0,1,10,10,4,1,7,1,0,1.9120224164798856
yop_off,133,1,0,9,12,5,1,4,0,0,2.4622336672618985
yop_on,133,1,0,9,12,5,1,4,0,0,2.446678167209029
yop_off,134,2,1,10,13,3,2,3,1,0,1.9204907091334462
yop_on,134,2,1,10,13,3,2,3,1,0,1.9042839156463742
yop_off,135,3,0,8,10,3,2,4,0,0,2.0216852072626352
yop_on,135,3,0,8,10,3,2,4,0,0,2.00995562504977
yop_off,136,0,1,10,5,1,3,6,0,0,2.2548124166205525
yop_on,136,0,1,10,5,1,3,6,0,0,2.2360337916761637
yop_off,137,1,0,7,3,0,3,2,0,0,1.1826503342017531
yop_on,137,1,0,7,3,0,3,2,0,0,1.1814539590850472
yop_off,138,2,0,7,13,4,1,6,0,0,2.3951850002631545
yop_on,138,2,0,7,13,4,1,6,0,0,2.381859667599201
yop_off,139,3,1,10,13,4,2,9,0,0,3.6964374594390392
yop_on,139,3,1,10,13,4,2,9,0,0,3.66701512504369
yop_off,140,0,0,8,5,1,3,4,0,0,2.27930395770818
yop_on,140,0,0,8,5,1,3,4,0,0,2.4921428337693214
yop_off,141,1,0,9,3,1,2,6,0,0,1.9640988754108548
yop_on,141,1,0,9,3,1,2,6,0,0,1.9428044995293021
