depth,games,win_rate,avg_vp,avg_roads,avg_settlements,avg_cities,avg_dev_cards,longest_road_rate,avg_runtime_seconds
2,400,0.31,7.46,9.885,3.3875,1.305,2.95,0.36,1.8279349361523054
3,400,0.305,7.4525,9.8225,3.4175,1.265,2.985,0.375,2.1367901940294542
