variant,games,win_rate,avg_vp,avg_roads,avg_settlements,avg_cities,avg_dev_cards,longest_road_rate,largest_army_rate,avg_runtime_seconds
yop_off,400,0.4425,8.27,8.955,3.21,1.76,3.8975,0.2825,0.0,2.043339367485605
yop_on,400,0.4375,8.2175,9.0775,3.2425,1.705,3.9425,0.29,0.0,2.13749978404725
