strategy,seed,seat,winner,game_turns,first_road_global,first_road_own,first_settlement_global,first_settlement_own,first_city_global,first_city_own,first_dev_global,first_dev_own,first_lr_global,first_lr_own,first_la_global,first_la_own
full_ows,92,1,0,155,121,31,,,109,28,5,2,,,89,23
full_ows,92,2,0,155,50,13,,,,,78,20,,,,
full_ows,92,3,1,155,19,5,155,39,,,11,3,83,21,155,39
full_ows,92,4,0,155,28,7,,,148,37,132,33,76,19,,
full_ows,93,1,0,91,9,3,,,,,89,23,,,,
full_ows,93,2,0,91,46,12,,,50,13,6,2,86,22,38,10
full_ows,93,3,1,91,15,4,31,8,83,21,11,3,,,47,12
full_ows,93,4,0,91,12,3,16,4,,,8,2,68,17,,
full_ows,94,1,1,97,17,5,65,17,85,22,13,4,93,24,,
full_ows,94,2,0,97,2,1,90,23,34,9,54,14,54,14,,
full_ows,94,3,0,97,71,18,,,15,4,7,2,,,47,12
full_ows,94,4,0,97,68,17,,,32,8,8,2,,,,
full_ows,95,1,1,125,13,4,105,27,65,17,9,3,,,,
full_ows,95,2,0,125,26,7,,,,,30,8,,,,
full_ows,95,3,0,125,15,4,,,,,11,3,,,99,25
full_ows,95,4,0,125,4,1,48,12,76,19,20,5,24,6,88,22
full_ows,96,1,0,119,21,6,41,11,85,22,5,2,,,25,7
full_ows,96,2,0,119,46,12,,,118,30,2,1,50,13,,
full_ows,96,3,1,119,7,2,111,28,23,6,51,13,107,27,,
full_ows,96,4,0,119,64,16,,,,,8,2,,,,
full_ows,97,1,0,114,13,4,57,15,65,17,21,6,45,12,,
full_ows,97,2,1,114,2,1,6,2,82,21,26,7,,,42,11
full_ows,97,3,0,114,3,1,83,21,39,10,11,3,79,20,,
full_ows,97,4,0,114,8,2,,,84,21,4,1,,,,
full_ows,98,1,0,151,9,3,97,25,137,35,5,2,57,15,21,6
full_ows,98,2,0,151,62,16,70,18,22,6,26,7,,,,
full_ows,98,3,1,151,59,15,103,26,39,10,19,5,67,17,,
full_ows,98,4,0,151,36,9,,,100,25,4,1,,,,
full_ows,99,1,0,119,17,5,73,19,9,3,5,2,37,10,,
full_ows,99,2,0,119,30,8,,,6,2,22,6,,,46,12
full_ows,99,3,1,119,55,14,103,26,11,3,27,7,99,25,,
full_ows,99,4,0,119,8,2,76,19,100,25,28,7,,,,
hybrid_ows,0,1,1,109,13,4,17,5,,,49,13,25,7,85,22
hybrid_ows,0,2,0,109,34,9,78,20,46,12,6,2,,,,
hybrid_ows,0,3,0,109,3,1,,,,,43,11,31,8,75,19
hybrid_ows,0,4,0,109,4,1,,,8,2,24,6,,,,
hybrid_ows,1,1,0,87,1,1,85,22,21,6,49,13,,,,
hybrid_ows,1,2,0,87,14,4,,,50,13,10,3,,,26,7
