variant,games,win_rate,avg_vp,avg_roads,avg_settlements,avg_cities,avg_dev_cards,longest_road_rate,largest_army_rate,avg_runtime_seconds
monopoly_off,40,0.525,8.55,9.125,3.325,2.025,3.425,0.25,0.0,2.157847108342685
monopoly_on,40,0.5,8.5,9.125,3.3,1.975,3.475,0.275,0.0,2.8211307688383385
