variant,games,win_rate,avg_vp,avg_roads,avg_settlements,avg_cities,avg_dev_cards,longest_road_rate,avg_runtime_seconds
maritime_off,400,0.2725,7.315,9.715,3.4225,1.2825,3.0075,0.2925,1.8913661647797562
maritime_on,400,0.4425,8.27,8.955,3.21,1.76,3.8975,0.2825,2.03445109696826
