variant,games,win_rate,avg_vp,avg_roads,avg_settlements,avg_cities,avg_dev_cards,longest_road_rate,largest_army_rate,avg_runtime_seconds
adaptive,400,0.215,6.8625,11.98,2.6,1.3925,3.2,0.3175,0.0,1.6677447719452902
search,400,0.4575,8.365,9.175,3.285,1.7725,3.8025,0.29,0.0,2.06344221228268
