variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
road_building_off,45,1,1,10,12,5,1,5,1,0,1.7646557912230492
road_building_on,45,1,1,10,12,5,1,5,1,0,1.7434099158272147
road_building_off,46,2,1,10,10,4,2,4,0,0,2.233723291195929
road_building_on,46,2,0,9,15,4,2,3,0,0,3.4100723331794143
road_building_off,47,3,0,8,8,5,1,4,0,0,2.300089582800865
road_building_on,47,3,0,8,8,5,1,4,0,0,2.362984416075051
road_building_off,48,0,0,8,6,4,1,5,0,0,1.542696250602603
road_building_on,48,0,0,6,5,3,1,4,0,0,1.6154338335618377
road_building_off,49,1,1,10,12,4,1,5,1,0,1.8013563333079219
road_building_on,49,1,1,10,12,4,1,5,1,0,1.9287525825202465
road_building_off,50,2,0,5,7,1,2,1,0,0,1.1203245827928185
road_building_on,50,2,0,5,7,1,2,1,0,0,1.1186865409836173
road_building_off,51,3,0,9,9,4,2,1,0,0,1.890651624649763
road_building_on,51,3,0,7,9,2,2,4,0,0,1.8491618325933814
road_building_off,52,0,1,10,11,4,2,2,1,0,1.3257857905700803
road_building_on,52,0,1,10,11,4,2,2,1,0,1.3370056254789233
road_building_off,53,1,0,6,11,5,0,4,0,0,1.9133667089045048
road_building_on,53,1,0,6,11,5,0,4,0,0,1.9229690423235297
road_building_off,54,2,0,6,3,1,2,7,0,0,1.3861418748274446
road_building_on,54,2,0,6,4,1,2,6,0,0,1.4156767502427101
road_building_off,55,3,1,10,14,4,2,4,1,0,2.254946082830429
road_building_on,55,3,1,10,14,4,2,4,1,0,2.4790880428627133
road_building_off,56,0,0,6,10,5,0,4,0,0,1.7882501250132918
road_building_on,56,0,0,6,10,5,0,4,0,0,1.7295742919668555
road_building_off,57,1,0,7,3,1,2,7,0,0,1.896034125238657
road_building_on,57,1,0,8,5,1,3,5,0,0,2.0451057497411966
road_building_off,58,2,0,6,7,2,2,5,0,0,2.0869354577735066
road_building_on,58,2,0,6,7,2,2,5,0,0,2.066180999390781
road_building_off,59,3,1,10,13,5,1,2,1,0,2.039316958747804
road_building_on,59,3,1,10,13,5,1,2,1,0,1.9751703757792711
road_building_off,60,0,0,7,12,4,1,4,0,0,2.1883345413953066
road_building_on,60,0,1,10,10,3,3,3,0,0,3.0288850823417306
road_building_off,61,1,0,7,6,4,1,4,0,0,1.6486794585362077
road_building_on,61,1,0,7,6,4,1,4,0,0,1.5808432903140783
road_building_off,62,2,0,7,10,3,2,1,0,0,2.6469426676630974
road_building_on,62,2,0,7,10,3,2,1,0,0,2.6708186250180006
road_building_off,63,3,0,6,3,0,3,2,0,0,1.2471553748473525
road_building_on,63,3,0,6,3,0,3,2,0,0,1.2501405412331223
road_building_off,64,0,0,7,5,2,2,4,0,0,2.1149380831047893
road_building_on,64,0,0,7,5,2,2,4,0,0,2.1444961251690984
road_building_off,65,1,0,8,7,2,3,1,0,0,2.041573416441679
road_building_on,65,1,0,8,7,2,3,1,0,0,2.017115416005254
road_building_off,66,2,0,5,5,4,0,6,0,0,1.6861802926287055
road_building_on,66,2,0,5,5,4,0,6,0,0,1.6933964574709535
road_building_off,67,3,1,10,15,3,2,5,1,0,2.3389705000445247
road_building_on,67,3,1,10,15,3,2,4,1,0,2.128761417232454
road_building_off,68,0,1,10,8,3,2,6,0,0,2.277457040734589
