seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
37,1,0,1,1,8,10,2,11,12,1,4,4,0,2,2,0,1,1,0,0,1,1,0,0,0,2.4595759585499763,3.007606958039105,0.5480309994891286
38,2,0,0,0,7,5,-2,10,11,1,5,5,0,0,0,0,3,3,0,1,0,-1,0,0,0,2.0075610000640154,2.2208153335377574,0.213254333473742
39,3,0,0,0,5,5,0,7,7,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,1.6397437080740929,1.643771500326693,0.004027792252600193
40,0,1,1,0,10,10,0,5,7,2,0,0,0,3,3,0,6,5,-1,1,1,0,0,0,0,0.6835403321310878,1.238932958804071,0.5553926266729832
41,1,1,1,0,10,10,0,7,7,0,4,4,0,2,2,0,6,6,0,0,0,0,0,0,0,1.9452470000833273,1.9523203326389194,0.00707333255559206
42,2,1,1,0,10,10,0,8,8,0,5,5,0,0,0,0,5,5,0,1,1,0,0,0,0,1.1051874170079827,1.1033410830423236,-0.0018463339656591415
43,3,1,1,0,10,10,0,10,10,0,5,5,0,2,2,0,5,5,0,0,0,0,0,0,0,2.0264000007882714,1.9242505822330713,-0.1021494185552001
44,0,1,1,0,10,10,0,8,8,0,0,0,0,4,4,0,5,5,0,0,0,0,0,0,0,1.7425410002470016,1.7710267081856728,0.028485707938671112
45,1,1,1,0,10,10,0,12,12,0,5,5,0,1,1,0,5,5,0,1,1,0,0,0,0,1.7646557912230492,1.7434099158272147,-0.021245875395834446
46,2,1,0,-1,10,9,-1,10,15,5,4,4,0,2,2,0,4,3,-1,0,0,0,0,0,0,2.233723291195929,3.4100723331794143,1.1763490419834852
47,3,0,0,0,8,8,0,8,8,0,5,5,0,1,1,0,4,4,0,0,0,0,0,0,0,2.300089582800865,2.362984416075051,0.06289483327418566
48,0,0,0,0,8,6,-2,6,5,-1,4,3,-1,1,1,0,5,4,-1,0,0,0,0,0,0,1.542696250602603,1.6154338335618377,0.07273758295923471
49,1,1,1,0,10,10,0,12,12,0,4,4,0,1,1,0,5,5,0,1,1,0,0,0,0,1.8013563333079219,1.9287525825202465,0.12739624921232462
50,2,0,0,0,5,5,0,7,7,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,1.1203245827928185,1.1186865409836173,-0.0016380418092012405
51,3,0,0,0,9,7,-2,9,9,0,4,2,-2,2,2,0,1,4,3,0,0,0,0,0,0,1.890651624649763,1.8491618325933814,-0.0414897920563817
52,0,1,1,0,10,10,0,11,11,0,4,4,0,2,2,0,2,2,0,1,1,0,0,0,0,1.3257857905700803,1.3370056254789233,0.01121983490884304
53,1,0,0,0,6,6,0,11,11,0,5,5,0,0,0,0,4,4,0,0,0,0,0,0,0,1.9133667089045048,1.9229690423235297,0.009602333419024944
54,2,0,0,0,6,6,0,3,4,1,1,1,0,2,2,0,7,6,-1,0,0,0,0,0,0,1.3861418748274446,1.4156767502427101,0.02953487541526556
55,3,1,1,0,10,10,0,14,14,0,4,4,0,2,2,0,4,4,0,1,1,0,0,0,0,2.254946082830429,2.4790880428627133,0.22414196003228426
56,0,0,0,0,6,6,0,10,10,0,5,5,0,0,0,0,4,4,0,0,0,0,0,0,0,1.7882501250132918,1.7295742919668555,-0.05867583304643631
57,1,0,0,0,7,8,1,3,5,2,1,1,0,2,3,1,7,5,-2,0,0,0,0,0,0,1.896034125238657,2.0451057497411966,0.14907162450253963
58,2,0,0,0,6,6,0,7,7,0,2,2,0,2,2,0,5,5,0,0,0,0,0,0,0,2.0869354577735066,2.066180999390781,-0.020754458382725716
59,3,1,1,0,10,10,0,13,13,0,5,5,0,1,1,0,2,2,0,1,1,0,0,0,0,2.039316958747804,1.9751703757792711,-0.06414658296853304
60,0,0,1,1,7,10,3,12,10,-2,4,3,-1,1,3,2,4,3,-1,0,0,0,0,0,0,2.1883345413953066,3.0288850823417306,0.840550540946424
61,1,0,0,0,7,7,0,6,6,0,4,4,0,1,1,0,4,4,0,0,0,0,0,0,0,1.6486794585362077,1.5808432903140783,-0.06783616822212934
62,2,0,0,0,7,7,0,10,10,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,2.6469426676630974,2.6708186250180006,0.02387595735490322
63,3,0,0,0,6,6,0,3,3,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,1.2471553748473525,1.2501405412331223,0.002985166385769844
64,0,0,0,0,7,7,0,5,5,0,2,2,0,2,2,0,4,4,0,0,0,0,0,0,0,2.1149380831047893,2.1444961251690984,0.02955804206430912
65,1,0,0,0,8,8,0,7,7,0,2,2,0,3,3,0,1,1,0,0,0,0,0,0,0,2.041573416441679,2.017115416005254,-0.02445800043642521
66,2,0,0,0,5,5,0,5,5,0,4,4,0,0,0,0,6,6,0,0,0,0,0,0,0,1.6861802926287055,1.6933964574709535,0.007216164842247963
67,3,1,1,0,10,10,0,15,15,0,3,3,0,2,2,0,5,4,-1,1,1,0,0,0,0,2.3389705000445247,2.128761417232454,-0.21020908281207085
68,0,1,1,0,10,10,0,8,8,0,3,3,0,2,2,0,6,6,0,0,0,0,0,0,0,2.277457040734589,2.270093208178878,-0.007363832555711269
69,1,0,0,0,9,7,-2,8,5,-3,0,2,2,4,2,-2,4,4,0,0,0,0,0,0,0,2.3269371250644326,1.8056434597820044,-0.5212936652824283
70,2,1,1,0,10,10,0,7,8,1,1,3,2,3,2,-1,5,5,0,0,0,0,0,0,0,2.329449750483036,2.080787291750312,-0.2486624587327242
71,3,1,1,0,10,10,0,7,7,0,3,3,0,2,2,0,4,4,0,0,0,0,0,0,0,1.768106333911419,1.754505124874413,-0.013601209037005901
72,0,1,1,0,10,10,0,7,7,0,1,1,0,4,4,0,4,4,0,0,0,0,0,0,0,1.9548179162666202,1.9725698325783014,0.01775191631168127
73,1,0,0,0,7,7,0,9,9,0,5,5,0,0,0,0,6,6,0,0,0,0,0,0,0,1.6285819998010993,1.6252301670610905,-0.003351832740008831
74,2,0,0,0,6,6,0,7,7,0,3,3,0,1,1,0,5,5,0,0,0,0,0,0,0,1.684010624885559,1.563047249801457,-0.12096337508410215
75,3,1,1,0,10,10,0,10,11,1,4,4,0,2,2,0,3,3,0,1,1,0,0,0,0,2.005448792129755,2.6011434169486165,0.5956946248188615
76,0,0,0,0,5,5,0,7,7,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,2.7193855829536915,2.722240707837045,0.00285512488335371
77,1,0,0,0,5,5,0,6,6,0,4,4,0,0,0,0,6,6,0,0,0,0,0,0,0,1.776781958527863,1.7848407914862037,0.008058832958340645
78,2,1,1,0,10,10,0,10,10,0,1,1,0,4,4,0,4,4,0,0,0,0,0,0,0,2.091895416378975,2.107339167036116,0.015443750657141209
79,3,1,1,0,10,10,0,10,10,0,5,5,0,1,0,-1,2,4,2,1,1,0,0,0,0,1.4983960827812552,2.9349134592339396,1.4365173764526844
80,0,1,1,0,10,10,0,7,7,0,1,1,0,4,4,0,5,5,0,0,0,0,0,0,0,3.040755582973361,3.019197916612029,-0.02155766636133194
81,1,0,0,0,7,7,0,5,5,0,0,0,0,3,3,0,6,6,0,0,0,0,0,0,0,1.7178310826420784,1.7172536253929138,-0.0005774572491645813
82,2,1,1,0,10,10,0,12,12,0,5,5,0,1,1,0,3,3,0,1,1,0,0,0,0,2.311165957711637,2.286706958897412,-0.024458998814225197
83,3,0,0,0,5,5,0,8,8,0,3,3,0,1,1,0,4,4,0,0,0,0,0,0,0,1.8302295412868261,1.801206374540925,-0.029023166745901108
84,0,0,0,0,6,6,0,13,13,0,4,4,0,1,1,0,2,2,0,0,0,0,0,0,0,2.4913995414972305,2.5249845003709197,0.033584958873689175
85,1,0,0,0,8,9,1,10,10,0,5,4,-1,0,1,1,1,1,0,1,1,0,0,0,0,1.8286366667598486,1.7145206248387694,-0.11411604192107916
86,2,0,0,0,4,4,0,5,5,0,3,3,0,0,0,0,5,5,0,0,0,0,0,0,0,1.1893871668726206,1.210736332461238,0.021349165588617325
87,3,0,0,0,4,4,0,7,7,0,4,4,0,0,0,0,6,6,0,0,0,0,0,0,0,1.5454760417342186,1.6211576657369733,0.07568162400275469
88,0,1,1,0,10,10,0,13,13,0,4,4,0,2,2,0,1,1,0,1,1,0,0,0,0,1.9099193746224046,2.0502639999613166,0.140344625338912
89,1,0,0,0,6,6,0,6,6,0,4,4,0,0,0,0,7,7,0,0,0,0,0,0,0,2.8225524574518204,2.6245430409908295,-0.1980094164609909
90,2,0,0,0,9,9,0,7,7,0,0,0,0,4,4,0,2,2,0,0,0,0,0,0,0,2.4893567077815533,2.484539999626577,-0.004816708154976368
91,3,0,1,1,6,10,4,3,7,4,3,3,0,0,2,2,9,6,-3,0,0,0,0,0,0,2.3616312919184566,2.790522334165871,0.4288910422474146
92,0,1,1,0,11,11,0,11,11,0,5,5,0,2,2,0,4,4,0,1,1,0,0,0,0,2.1934414580464363,2.296748791821301,0.10330733377486467
93,1,0,0,0,5,5,0,9,9,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1.6597872087731957,1.6815893333405256,0.021802124567329884
94,2,0,0,0,9,9,0,12,12,0,4,4,0,1,1,0,3,3,0,1,1,0,0,0,0,2.8818265832960606,2.8867896674200892,0.004963084124028683
95,3,1,1,0,10,10,0,15,15,0,4,4,0,2,2,0,6,6,0,0,0,0,0,0,0,2.713636625558138,2.9607030833140016,0.24706645775586367
96,0,0,0,0,8,8,0,9,9,0,2,2,0,2,2,0,4,4,0,0,0,0,0,0,0,1.7032056245952845,1.6750255823135376,-0.028180042281746864
