variant,games,win_rate,avg_vp,avg_roads,avg_settlements,avg_cities,avg_dev_cards,longest_road_rate,largest_army_rate,avg_runtime_seconds
road_building_off,400,0.4425,8.27,8.955,3.21,1.76,3.8975,0.2825,0.0,2.0099118265742435
road_building_on,400,0.4575,8.365,9.175,3.285,1.7725,3.8025,0.29,0.0,2.129015279666055
