variant,games,win_rate,avg_vp,avg_roads,avg_settlements,avg_cities,avg_dev_cards,longest_road_rate,largest_army_rate
baseline,200,0.255,7.105,11.995,2.555,1.48,3.37,0.365,0.0
lookahead,200,0.23,7.05,9.875,3.3,1.28,2.815,0.24,0.0
