seed_block,game_seed,lineup_index,lineup,rotation,seat,player_id,strategy,winner,game_finished,turns,victory_points,roads,settlements,cities,knights,largest_army,longest_road,dev_vp
0,0,2,full_ows|hybrid_ows|road_building|port,2,4,3,hybrid_ows,1,1,136,10,14,1,2,3,0,1,3
0,0,2,full_ows|hybrid_ows|road_building|port,3,1,0,port,1,1,113,10,15,4,1,0,0,1,2
0,0,2,full_ows|hybrid_ows|road_building|port,3,2,1,full_ows,0,1,113,8,4,0,2,6,1,0,2
0,0,2,full_ows|hybrid_ows|road_building|port,3,3,2,hybrid_ows,0,1,113,3,14,1,1,4,0,0,0
0,0,2,full_ows|hybrid_ows|road_building|port,3,4,3,road_building,0,1,113,6,15,5,0,0,0,0,1
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,0,1,0,full_ows,0,1,123,5,5,2,0,3,0,0,3
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,0,2,1,hybrid_ows,0,1,123,8,15,0,2,7,1,1,0
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,0,3,2,roads_and_cities,1,1,123,10,15,2,4,0,0,0,0
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,0,4,3,five_resource,0,1,123,7,15,5,0,0,0,0,2
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,1,1,0,hybrid_ows,0,1,123,9,15,0,2,2,0,1,3
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,1,2,1,roads_and_cities,0,1,123,7,15,1,3,0,0,0,0
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,1,3,2,five_resource,1,1,123,10,15,2,4,0,0,0,0
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,1,4,3,full_ows,0,1,123,8,9,0,2,7,1,0,2
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,2,1,0,roads_and_cities,0,1,126,8,15,0,4,0,0,0,0
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,2,2,1,five_resource,1,1,126,10,15,3,3,0,0,0,1
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,2,3,2,full_ows,0,1,126,7,5,2,0,7,1,0,3
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,2,4,3,hybrid_ows,0,1,126,9,15,0,3,1,0,1,1
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,3,1,0,five_resource,0,1,79,6,15,3,0,0,0,1,1
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,3,2,1,full_ows,0,1,79,2,3,2,0,2,0,0,0
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,3,3,2,hybrid_ows,1,1,79,10,9,1,2,3,1,0,3
0,0,3,full_ows|hybrid_ows|roads_and_cities|five_resource,3,4,3,roads_and_cities,0,1,79,3,10,3,0,0,0,0,0
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,0,1,0,full_ows,0,1,102,5,4,2,0,4,0,0,3
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,0,2,1,hybrid_ows,1,1,102,10,13,1,2,4,1,1,1
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,0,3,2,roads_and_cities,0,1,102,5,12,1,2,0,0,0,0
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,0,4,3,port,0,1,102,4,15,4,0,0,0,0,0
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,1,1,0,hybrid_ows,0,1,151,9,15,0,3,5,0,1,1
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,1,2,1,roads_and_cities,0,1,151,7,15,1,3,0,0,0,0
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,1,3,2,port,1,1,151,10,15,4,2,0,0,0,2
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,1,4,3,full_ows,0,1,151,8,8,0,2,8,1,0,2
